Αγαυη	Ἀγαύη
κοῦρος	κοῦρος
κουφίζω	κουφίζω
κούφος	κοῦφος
κρείων	κρείων
κρῆνη	κρήνη
κρηπῖς	κρηπῖς
κρύφιος	κρύφιος
κτείνω	κτείνω
κτερή	κτέρη
κυανέος	κυάνεος
κώνος	κώνος
λάϊνος	λᾶϊνος
λασίος	λασίος
λέιπω	λείπω
λέπαδνον	λεπάδνον
λιγὺς	λιγύς
λιλαίομαι	λιλαίομαι
λοιβάς	λοιβή
λοιβής	λοιβή
λοξός	λοξός
λοχίος	λόχιος
λυσίπονος	λυσίπονος
μαζὸς	μαζός
μαντίπολος	μαντιπόλος
μαρμαρυγὴ	μαρμαρυγή
μαχητάς	μαχητάς
μαχητὴς	μαχητής
μαχομαὶ	μάχομαι
μειλιχῖος	μειλίχιος
μέλαθρον	μέλαθρον
μέλεος	μέλεος
μενεπτόλεμός	μενεπτόλεμος
μενοινὴ	μενοινή
μῆλον	μῆλον
μήτηρ	μήτηρ
μῆτις	μῆτις
μιμηλός	μιμηλός
μιμνῄσκω	μιμνῄσκω
μινυνθαδίος	μινυνθαδῖος
μορφὴ	μορφή
μυκήμα	μύκημα
ναυμάχος	ναυμάχος
νάῦς	ναῦς
νεάτος	νεάτος
νεβρὶς	νεβρίς
νεβρὸς	νεβρός
νεῖκος	νεῖκος
νέμεσις	νέμεσις
νεύμα	νεῦμα
νηιάδες	νηϊάδες
νηιάς	νηιάς
νῆις	νῆις
νηπενθὴς	νηπενθής
νηπίαχος	νηπιάχος
νόημα	νόημα
νομίος	νόμιος
νύμφῃ	νύμφη
νυμφιδῖος	νυμφιδίος
νῦν	νῦν
νυχῖος	νύχιος
νωθρός	νωθρός
νῶτον	νῶτον
ξανθὸς	ξανθός
ὅδʼ	ὅδʼ
ὀδύνη	ὀδύνη
οἶδμα	οἶδμα
ὀϊζύν	ὀϊζύν
ὀιζυρός	ὀϊζυρός
ὀϊζύς	ὀϊζύς
οἰνὰς	οἰνάς
οἴομαι	οἴομαι
ὄις	οἶς
ὀϊστεύω	ὀϊστεύω
ὀιστοῖς	ὀϊστοῖς
ὀιστός	ὀϊστός
οἴω	οἴω
ὀλέω	ὄλεω
ὁλκός	ὁλκός
ὀμίχλῃ	ὁμίχλη
ὁμοῖος	ὅμοιος
ὀμφὴ	ὀμφή
ὄνειρος	ὄνειρος
ὀξυτενής	ὀξυτενής
ὀπάζω	ὀπάζω
ὀπιπευτῆρ	ὀπιπευτήρ
ὄπις	ὄπις
ὅπλος	ὁπλός
ὀπῶρα	ὀπώρα
ὅρμος	ὅρμος
ὅρπηξ	ὅρπηξ
ὅτε	ὅτε
οὔθʼ	οὔθʼ
οὐρανῖος	οὐράνιος
οὐτʼ	οὔτʼ
παντοίος	παντοῖος
πάρʼ	πάρʼ
παραΐσσω	παραΐσσω
παρειαίμι	παρειαίμι
παρθενική	παρθενική
πασσυδίῃ	πασσυδίη
παστὸς	παστός
πατάγος	πάταγος
πάτηρ	πατήρ
παῦρος	παῦρος
πέδιλον	πέδιλον
πείσμα	πεῖσμα
πέλαγος	πέλαγος
πελεία	πέλεια
πελωρῖος	πελώριος
πετρά	πέτρα
πηκτὶς	πηκτίς
πῆμα	πῆμα
πίεζω	πιέζω
πλοκάμος	πλόκαμος
πόθεν	πόθεν
ποίῃ	ποίη
ποιητὸς	ποιητός
πολεμίζω	πολεμίζω
πόλεμος	πόλεμος
πόλις	πόλις
πολυπῖδαξ	πολυπίδαξ
ποντόπορος	ποντόπορος
προίημι	προΐημι
προτέρος	πρότερος
προχοή	προχοή
πτερόν	πτερόν
πυρσὸς	πυρσός
ῥίπτω	ῥίπτω
ῥοθῖον	ῥοθίον
ῥόθιος	ῥόθιος
ῥόπαλον	ῥόπαλον
σειρὴ	σειρή
σκήπτρον	σκῆπτρον
σκόπελος	σκόπελος
σπείρω	σπείρω
σπεῦδω	σπεύδω
στάδιος	στάδιος
στεινός	στεῖνος
συβώτης	συβώτης
σύν	σύν
σῦριγξ	σύριγξ
σύριζω	συρίζω
σύς	σύς
ταμὼν	ταμών
ταῦρος	ταῦρος
ταυροφυὴς	ταυροφυής
ταυρῶπις	ταυρώπις
τείχος	τεῖχος
τελεσσίγονος	τελεσσίγονος
τερπωλῆς	τερπωλῆς
τεύχω	τεύχω
τίς	τίς
τίω	τίω
τοῖχος	τοῖχος
τοσσατῖος	τοσσάτιος
τοτέ	τότε
τοὔνεκʼ	τοὔνεκʼ
τούνεκα	τοὔνεκα
τριαίνα	τριαῖνα
τριαίνῃ	τριαίνη
τρυφαλεία	τρυφάλεια
τυρός	τυρός
υἱωνὸς	υἱωνός
ὗλη	ὕλη
ὑμεναῖος	ὑμέναιος
ὑποβρύχιος	ὑποβρύχιος
ὑπωροφῖος	ὑπωρόφιος
ὑστατῖος	ὑστάτιος
ὑψιτενής	ὑψιτενής
φαιδρός	φαιδρός
φάρμακόν	φάρμακον
